id,price,neighborhood,borough,accommodates,bathrooms,bedrooms,beds,review_scores_rating,number_of_reviews,listing_url
851418937274147100,75,Astoria,Queens,1,1,1,1,NA,0,https://www.airbnb.com/rooms/851418937274147108
851431022872884100,250,Sheepshead Bay,Brooklyn,4,2,2,2,NA,0,https://www.airbnb.com/rooms/851431022872884050
851448450763390700,NA,Greenpoint,Brooklyn,4,NA,1,NA,5,1,https://www.airbnb.com/rooms/851448450763390690
851472160642653e3,80,Morningside Heights,Manhattan,2,1,1,1,5,7,https://www.airbnb.com/rooms/851472160642653115
851515275801895800,85,Bedford-Stuyvesant,Brooklyn,2,1,0,1,4.85,26,https://www.airbnb.com/rooms/851515275801895869
851572720637053300,195,Williamsburg,Brooklyn,2,1,1,1,5,4,https://www.airbnb.com/rooms/851572720637053291
851703525774434300,66,Bushwick,Brooklyn,2,1,1,1,NA,0,https://www.airbnb.com/rooms/851703525774434254
851725083326094700,475,Ozone Park,Queens,4,2,2,2,NA,0,https://www.airbnb.com/rooms/851725083326094710
851748434941516e3,100,Rosedale,Queens,2,1,1,1,5,2,https://www.airbnb.com/rooms/851748434941515981
851766109438536600,NA,Hell's Kitchen,Manhattan,2,NA,1,NA,4.4,5,https://www.airbnb.com/rooms/851766109438536589
851923089381777e3,420,Tribeca,Manhattan,2,1,1,1,3,1,https://www.airbnb.com/rooms/851923089381776992
852041223399275300,54,Bushwick,Brooklyn,1,2,4,1,NA,0,https://www.airbnb.com/rooms/852041223399275274
852055362497766900,54,Bushwick,Brooklyn,1,2,4,1,NA,0,https://www.airbnb.com/rooms/852055362497766950
852058233566906500,51,Bushwick,Brooklyn,1,2,4,1,NA,0,https://www.airbnb.com/rooms/852058233566906557
852097762131147e3,69,Ditmars Steinway,Queens,2,1,1,1,4.79,19,https://www.airbnb.com/rooms/852097762131147029
852126587355348500,155,Upper West Side,Manhattan,4,1,2,2,5,1,https://www.airbnb.com/rooms/852126587355348532
852153991789569700,53,Upper East Side,Manhattan,1,1.5,1,1,NA,0,https://www.airbnb.com/rooms/852153991789569715
852160252498960400,150,Clinton Hill,Brooklyn,3,1,1,1,NA,0,https://www.airbnb.com/rooms/852160252498960329
852165218048122400,NA,Williamsburg,Brooklyn,2,NA,1,NA,5,3,https://www.airbnb.com/rooms/852165218048122423
852165663564258e3,49,Upper East Side,Manhattan,1,1.5,1,4,4.5,2,https://www.airbnb.com/rooms/852165663564258034
852170171718777600,49,Upper East Side,Manhattan,1,1.5,1,4,3.33,3,https://www.airbnb.com/rooms/852170171718777647
852172398049786600,65,Upper East Side,Manhattan,1,1.5,1,4,4.33,3,https://www.airbnb.com/rooms/852172398049786615
852207246693931100,NA,Upper East Side,Manhattan,3,NA,1,NA,1,1,https://www.airbnb.com/rooms/852207246693931174
852216245968244500,190,Flatiron District,Manhattan,3,1,0,1,NA,0,https://www.airbnb.com/rooms/852216245968244426
852231888519393500,775,Kingsbridge,Bronx,9,1,1,6,NA,0,https://www.airbnb.com/rooms/852231888519393589
852269773314560600,399,Midtown,Manhattan,2,1,4,4,4.67,3,https://www.airbnb.com/rooms/852269773314560697
852293809096264400,220,East Village,Manhattan,4,1,2,2,NA,0,https://www.airbnb.com/rooms/852293809096264492
852308974299854600,205,Upper East Side,Manhattan,4,1,2,2,NA,0,https://www.airbnb.com/rooms/852308974299854597
